municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Santa María de la Alameda;2021/07/20 12:13:00;;;6;454,2;83;6283,12;1356
Horcajuelo de la Sierra;2021/07/20 12:13:00;;;;1123,6;5;5617,98;719
Arroyomolinos;2021/07/20 12:13:00;;;93;282,37;2663;8085,62;151
Moralzarzal;2021/07/20 12:13:00;;;57;427,48;1513;11346,93;908
Canencia;2021/07/20 12:13:00;;;;0;39;8724,83;344
Villarejo de Salvanés;2021/07/20 12:13:00;;;23;309,43;919;12363,78;1809
Serranillos del Valle;2021/07/20 12:13:00;;;20;466,09;467;10883,24;1408
Villaviciosa de Odón;2021/07/20 12:13:00;;;156;554,21;2818;10011,37;1816
Camarma de Esteruelas;2021/07/20 12:13:00;;;18;242,03;556;7476,13;323
Robledo de Chavela;2021/07/20 12:13:00;;;10;229,15;340;7791,02;1258
Patones;2021/07/20 12:13:00;;;;185,53;35;6493,51;1071
Navalagamella;2021/07/20 12:13:00;;;9;341,3;254;9632,16;954
Rascafría;2021/07/20 12:13:00;;;;57,97;138;8000;1202
El Boalo;2021/07/20 12:13:00;;;25;326,24;849;11079,21;231
Majadahonda;2021/07/20 12:13:00;;;458;634,74;9129;12651,93;800
Batres;2021/07/20 12:13:00;;;;57,14;107;6114,29;170
Alcobendas;2021/07/20 12:13:00;;;633;534,55;15506;13094,4;66
Alcalá de Henares;2021/07/20 12:13:00;;;530;268,27;17945;9083,22;53
Colmenar Viejo;2021/07/20 12:13:00;;;178;342,72;5404;10404,71;455
San Fernando de Henares;2021/07/20 12:13:00;;;172;434,72;4635;11714,6;1300
Villalbilla;2021/07/20 12:13:00;;;43;298,78;1066;7406,89;1723
El Escorial;2021/07/20 12:13:00;;;66;403,3;1599;9770,85;549
Colmenar del Arroyo;2021/07/20 12:13:00;;;6;336,13;159;8907,56;421
Torrejón de Ardoz;2021/07/20 12:13:00;;;384;289,04;14538;10942,92;1489
Piñuécar-Gandullas;2021/07/20 12:13:00;;;;0;11;6145,25;1147
Brea de Tajo;2021/07/20 12:13:00;;;;197,63;97;19169,96;259
El Molar;2021/07/20 12:13:00;;;40;430,71;911;9809,41;869
Belmonte de Tajo;2021/07/20 12:13:00;;;;0;153;9090,91;199
Torres de la Alameda;2021/07/20 12:13:00;;;29;370,23;724;9242,95;1548
Somosierra;2021/07/20 12:13:00;;;;0;8;9195,4;1436
Alpedrete;2021/07/20 12:13:00;;;66;444,77;1643;11072,17;105
Orusco de Tajuña;2021/07/20 12:13:00;;;;154,44;121;9343,63;1028
La Hiruela;2021/07/20 12:13:00;;;;0;;4615,38;698
Cervera de Buitrago;2021/07/20 12:13:00;;;;0;16;9876,54;395
Getafe;2021/07/20 12:13:00;;;569;307,27;19337;10442,27;650
Ribatejada;2021/07/20 12:13:00;;;;249,69;77;9612,98;1224
Villaconejos;2021/07/20 12:13:00;;;5;146,11;413;12068,97;1701
Valdetorres de Jarama;2021/07/20 12:13:00;;;14;305,61;365;7967,69;1646
Pozuelo de Alarcón;2021/07/20 12:13:00;;;660;757,18;9679;11104,23;1150
Madrid-Retiro;2021/07/13 12:04:00;;;293;243,44;12718;10566,63;79603
Madrid-Salamanca;2021/07/13 12:04:00;;;628;424,78;17265;11678,09;79604
Madrid-Centro;2021/07/13 12:04:00;;;657;467,54;16501;11742,48;79601
Madrid-Arganzuela;2021/07/13 12:04:00;;;464;298,11;16748;10760,18;79602
Madrid-Chamartín;2021/07/13 12:04:00;;;532;360,56;16540;11209,84;79605
Madrid-Tetuán;2021/07/13 12:04:00;;;442;273,87;17907;11095,55;79606
Madrid-Chamberí;2021/07/13 12:04:00;;;632;448,76;17127;12161,13;79607
Madrid-Fuencarral-El Pardo;2021/07/13 12:04:00;;;597;238,89;25109;10047,26;79608
Madrid-Moncloa-Aravaca;2021/07/13 12:04:00;;;408;335,35;14615;12012,59;79609
Madrid-Latina;2021/07/13 12:04:00;;;416;171,79;25444;10507,41;79610
Madrid-Carabanchel;2021/07/13 12:04:00;;;431;165,63;29233;11233,96;79611
Madrid-Usera;2021/07/13 12:04:00;;;255;178,23;16711;11680,05;79612
Madrid-Puente de Vallecas;2021/07/13 12:04:00;;;393;163,13;32742;13591,19;79613
Madrid-San Blas - Canillejas;2021/07/13 12:04:00;;;355;220,27;16987;10540,06;79620
Madrid-Barajas;2021/07/13 12:04:00;;;126;252,09;5039;10081,43;79621
Madrid-Moratalaz;2021/07/13 12:04:00;;;261;273,11;10879;11383,64;79614
Madrid-Ciudad Lineal;2021/07/13 12:04:00;;;549;249,67;24828;11291,05;79615
Madrid-Hortaleza;2021/07/13 12:04:00;;;470;243,24;19600;10143,61;79616
Madrid-Villaverde;2021/07/13 12:04:00;;;232;150,29;17978;11645,97;79617
Madrid-Villa de Vallecas;2021/07/13 12:04:00;;;172;150,28;12100;10572,03;79618
Madrid-Vicálvaro;2021/07/13 12:04:00;;;154;208,1;7593;10260,26;79619
Alcorcón;2021/07/13 12:04:00;;;253;146,77;17142;9944,08;72
Navalcarnero;2021/07/13 12:04:00;;;44;146,74;2720;9071,2;967
San Agustín del Guadalix;2021/07/13 12:04:00;;;31;230,21;1505;11176,3;1296
Las Rozas de Madrid;2021/07/13 12:04:00;;;263;273,64;9456;9838,42;1277
Moraleja de Enmedio;2021/07/13 12:04:00;;;11;211,54;620;11923,08;894
Valdaracete;2021/07/13 12:04:00;;;;165,29;69;11404,96;1551
Pozuelo del Rey;2021/07/13 12:04:00;;;;85,32;79;6740,61;1163
Puebla de la Sierra;2021/07/13 12:04:00;;;;0;19;26027,4;1185
Perales de Tajuña;2021/07/13 12:04:00;;;;66,89;267;8929,77;1104
Valdemorillo;2021/07/13 12:04:00;;;14;109,61;1052;8236,77;1603
Navalafuente;2021/07/13 12:04:00;;;;132,36;134;8868,3;941
Velilla de San Antonio;2021/07/13 12:04:00;;;12;96,93;1324;10694,67;1678
Villanueva de la Cañada;2021/07/13 12:04:00;;;50;226,09;2333;10549,4;1760
Villanueva del Pardillo;2021/07/13 12:04:00;;;44;252,93;1824;10485,17;1776
Nuevo Baztán;2021/07/13 12:04:00;;;7;108,46;504;7809,11;1006
Villamantilla;2021/07/13 12:04:00;;;;269,91;122;8232,12;1757
Villamanta;2021/07/13 12:04:00;;;;38,39;244;9366,6;1744
Cabanillas de la Sierra;2021/07/13 12:04:00;;;;254,78;90;11464,97;297
Cenicientos;2021/07/13 12:04:00;;;5;245,34;206;10107,95;376
Puentes Viejas;2021/07/13 12:04:00;;;;0;43;6151,65;9020
Aranjuez;2021/07/13 12:04:00;;;82;135,91;6722;11141,68;133
Cercedilla;2021/07/13 12:04:00;;;28;388,62;827;11478,14;382
Santorcaz;2021/07/13 12:04:00;;;;222,47;66;7341,49;1369
Coslada;2021/07/13 12:04:00;;;122;149,89;8965;11014,73;493
Morata de Tajuña;2021/07/13 12:04:00;;;10;127,44;866;11036,06;915
Robregordo;2021/07/13 12:04:00;;;;0;5;7692,31;1261
Navarredonda y San Mamés;2021/07/13 12:04:00;;;;0;16;12403,1;973
Venturada;2021/07/13 12:04:00;;;;178,49;168;7496,65;1697
Navacerrada;2021/07/13 12:04:00;;;;32,35;351;11355,55;936
Montejo de la Sierra;2021/07/13 12:04:00;;;;0;49;13461,54;881
Fresno de Torote;2021/07/13 12:04:00;;;;43,5;146;6350,59;571
Pinilla del Valle;2021/07/13 12:04:00;;;;1052,63;11;5789,47;1126
Valdemaqueda;2021/07/13 12:04:00;;;;129,03;77;9935,48;1599
Navas del Rey;2021/07/13 12:04:00;;;5;168,58;308;10384,36;992
Olmeda de las Fuentes;2021/07/13 12:04:00;;;;289,02;29;8381,5;1013
Bustarviejo;2021/07/13 12:04:00;;;7;277,56;165;6542,43;284
Becerril de la Sierra;2021/07/13 12:04:00;;;5;85,11;670;11404,26;186
Fuenlabrada;2021/07/13 12:04:00;;;289;148,58;22112;11367,82;587
Garganta de los Montes;2021/07/13 12:04:00;;;;0;26;6896,55;626
Pinto;2021/07/13 12:04:00;;;81;151,9;4777;8958,27;1132
Alameda del Valle;2021/07/13 12:04:00;;;;980,39;9;4411,76;35
Berzosa del Lozoya;2021/07/13 12:04:00;;;;0;54;24324,32;203
Los Santos de la Humosa;2021/07/13 12:04:00;;;;37,12;229;8500,37;1375
El Álamo;2021/07/13 12:04:00;;;7;70,98;1023;10373,15;40
Pelayos de la Presa;2021/07/13 12:04:00;;;;37,37;233;8707,03;1090
Galapagar;2021/07/13 12:04:00;;;86;249,3;3887;11267,65;611
Griñón;2021/07/13 12:04:00;;;18;172,5;1223;11720,17;663
Gargantilla del Lozoya y Pinilla de Buitrago;2021/07/13 12:04:00;;;;0;43;13915,86;632
Aldea del Fresno;2021/07/13 12:04:00;;;;100,91;277;9317,19;88
Carabaña;2021/07/13 12:04:00;;;;48,05;193;9274,39;357
Talamanca de Jarama;2021/07/13 12:04:00;;;;99,7;415;10343,97;1454
Chapinería;2021/07/13 12:04:00;;;;124,28;136;5633,8;513
Ciempozuelos;2021/07/13 12:04:00;;;14;55,77;2448;9751,43;409
Ajalvir;2021/07/13 12:04:00;;;6;127,09;312;6608,77;29
San Lorenzo de El Escorial;2021/07/13 12:04:00;;;56;302,18;1871;10096,05;1317
Gascones;2021/07/13 12:04:00;;;;0;11;6250;647
San Martín de la Vega;2021/07/13 12:04:00;;;16;81,5;1971;10039,22;1322
Móstoles;2021/07/13 12:04:00;;;312;148,35;22333;10619,14;920
Leganés;2021/07/13 12:04:00;;;265;138,66;18758;9815,08;745
Braojos;2021/07/13 12:04:00;;;;485,44;26;12621,36;246
Cubas de la Sagra;2021/07/13 12:04:00;;;12;183,51;772;11806,09;506
Algete;2021/07/13 12:04:00;;;43;206,1;2469;11833,78;91
Mejorada del Campo;2021/07/13 12:04:00;;;30;126,91;2432;10288,08;843
Loeches;2021/07/13 12:04:00;;;6;67,44;822;9239,07;758
Parla;2021/07/13 12:04:00;;;176;131,85;15302;11463,72;1065
Fuentidueña de Tajo;2021/07/13 12:04:00;;;;93,63;220;10299,63;604
Ambite;2021/07/13 12:04:00;;;;0;66;10837,44;112
Torremocha de Jarama;2021/07/13 12:04:00;;;;372,09;65;6046,51;1533
Anchuelo;2021/07/13 12:04:00;;;;77,76;77;5987,56;127
Los Molinos;2021/07/13 12:04:00;;;19;428,6;523;11797,88;875
Soto del Real;2021/07/13 12:04:00;;;17;189,29;793;8829,75;1441
Valverde de Alcalá;2021/07/13 12:04:00;;;;0;37;7429,72;1662
Fuente el Saz de Jarama;2021/07/13 12:04:00;;;13;190,98;879;12913,18;590
Horcajo de la Sierra-Aoslos;2021/07/13 12:04:00;;;;0;7;4605,26;702
Valdeolmos-Alalpardo;2021/07/13 12:04:00;;;7;165,41;421;9948,02;1625
Campo Real;2021/07/13 12:04:00;;;;31,15;737;11479,75;339
Valdeavero;2021/07/13 12:04:00;;;;188,56;119;7479,57;1564
Villamanrique de Tajo;2021/07/13 12:04:00;;;;141,44;64;9052,33;1739
Cobeña;2021/07/13 12:04:00;;;20;267,17;840;11220,95;416
Fresnedillas de la Oliva;2021/07/13 12:04:00;;;6;363,42;151;9145,97;565
Valdilecha;2021/07/13 12:04:00;;;;33,53;344;11535,88;1659
El Berrueco;2021/07/13 12:04:00;;;;0;72;9266,41;210
Pezuela de las Torres;2021/07/13 12:04:00;;;;0;57;6574,39;1111
Villar del Olmo;2021/07/13 12:04:00;;;;144,3;136;6541,61;1795
Guadarrama;2021/07/13 12:04:00;;;39;235,51;1908;11521,74;685
San Martín de Valdeiglesias;2021/07/13 12:04:00;;;12;138,26;946;10899,87;1338
Torrelodones;2021/07/13 12:04:00;;;80;334,7;2496;10442,64;1527
Boadilla del Monte;2021/07/13 12:04:00;;;204;359,57;5120;9024,57;225
Torrejón de Velasco;2021/07/13 12:04:00;;;;91,2;472;10761,51;1505
Villanueva de Perales;2021/07/13 12:04:00;;;;125,63;136;8542,71;1782
Tielmes;2021/07/13 12:04:00;;;;36,55;333;12171,05;1467
San Sebastián de los Reyes;2021/07/13 12:04:00;;;211;231,3;10487;11495,88;1343
Guadalix de la Sierra;2021/07/13 12:04:00;;;10;155,28;531;8245,34;679
Humanes de Madrid;2021/07/13 12:04:00;;;46;233,49;2276;11552,71;730
Chinchón;2021/07/13 12:04:00;;;;18,47;507;9366,34;528
Cadalso de los Vidrios;2021/07/13 12:04:00;;;;131,28;297;9747,29;318
Hoyo de Manzanares;2021/07/13 12:04:00;;;28;328,29;854;10012,9;724
Torrejón de la Calzada;2021/07/13 12:04:00;;;7;76,14;898;9767,24;1492
Estremera;2021/07/13 12:04:00;;;;0;146;10944,53;552
Corpa;2021/07/13 12:04:00;;;;414,94;43;5947,44;480
Meco;2021/07/13 12:04:00;;;37;252,22;1074;7321,06;838
Madarcos;2021/07/13 12:04:00;;;;0;6;12244,9;783
Zarzalejo;2021/07/13 12:04:00;;;;0;141;8131,49;1837
Arganda del Rey;2021/07/13 12:04:00;;;67;118,21;5665;9995,06;148
Collado Mediano;2021/07/13 12:04:00;;;14;197,04;597;8402,53;468
Daganzo de Arriba;2021/07/13 12:04:00;;;17;164,46;897;8677,57;534
Manzanares El Real;2021/07/13 12:04:00;;;8;89,53;792;8863,03;822
Buitrago del Lozoya;2021/07/13 12:04:00;;;6;306,28;214;10923,94;278
Valdelaguna;2021/07/13 12:04:00;;;;0;72;7354,44;1570
Valdepiélagos;2021/07/13 12:04:00;;;;0;47;7654,72;1631
Casarrubuelos;2021/07/13 12:04:00;;;;26,01;399;10377,11;360
Miraflores de la Sierra;2021/07/13 12:04:00;;;8;125,75;607;9541,02;856
Paracuellos de Jarama;2021/07/13 12:04:00;;;75;289,39;2283;8808,89;1049
El Vellón;2021/07/13 12:04:00;;;;149,7;152;7584,83;1684
Lozoya;2021/07/13 12:04:00;;;;0;27;4655,17;761
Collado Villalba;2021/07/13 12:04:00;;;136;211,25;8382;13019,98;474
Colmenarejo;2021/07/13 12:04:00;;;12;130,01;923;10000;442
Villavieja del Lozoya;2021/07/13 12:04:00;;;;0;22;8396,95;1821
Prádena del Rincón;2021/07/13 12:04:00;;;;0;;3200;1179
La Cabrera;2021/07/13 12:04:00;;;;73,1;361;13194,44;301
Sevilla la Nueva;2021/07/13 12:04:00;;;43;457,79;981;10443,95;1415
La Acebeda;2021/07/13 12:04:00;;;;0;;2941,18;14
Redueña;2021/07/13 12:04:00;;;;0;8;2962,96;1219
Robledillo de la Jara;2021/07/13 12:04:00;;;;3157,89;14;14736,84;1245
La Serna del Monte;2021/07/13 12:04:00;;;;0;17;19540,23;1381
Colmenar de Oreja;2021/07/13 12:04:00;;;;49,06;824;10105,47;437
Rozas de Puerto Real;2021/07/13 12:04:00;;;;0;40;7207,21;1283
Valdemanco;2021/07/13 12:04:00;;;;207,68;56;5815,16;1586
Brunete;2021/07/13 12:04:00;;;22;204,46;1047;9730,48;262
Titulcia;2021/07/13 12:04:00;;;;0;125;9321,4;1473
Villa del Prado;2021/07/13 12:04:00;;;12;180,15;858;12880,95;1718
Lozoyuela-Navas-Sieteiglesias;2021/07/13 12:04:00;;;;74,63;127;9477,61;9015
Quijorna;2021/07/13 12:04:00;;;;112,96;399;11268;1198
Valdemoro;2021/07/13 12:04:00;;;80;103,53;6687;8654,07;1610
Tres Cantos;2021/07/13 12:04:00;;;95;196,58;3872;8012,25;9036
Torrelaguna;2021/07/13 12:04:00;;;;20,6;465;9579,73;1512
Rivas-Vaciamadrid;2021/07/13 12:04:00;;;204;224,24;8242;9059,83;1230
El Atazar;2021/07/13 12:04:00;;;;0;;1111,11;164
Pedrezuela;2021/07/13 12:04:00;;;8;130,08;677;11008,13;1087
Santa María de la Alameda;2021/07/13 12:04:00;;;;75,7;77;5828,92;1356
Horcajuelo de la Sierra;2021/07/13 12:04:00;;;;0;;4494,38;719
Arroyomolinos;2021/07/13 12:04:00;;;40;121,45;2597;7885,23;151
Moralzarzal;2021/07/13 12:04:00;;;30;224,99;1482;11114,44;908
Canencia;2021/07/13 12:04:00;;;;0;39;8724,83;344
Villarejo de Salvanés;2021/07/13 12:04:00;;;8;107,63;901;12121,62;1809
Serranillos del Valle;2021/07/13 12:04:00;;;14;326,26;456;10626,89;1408
Villaviciosa de Odón;2021/07/13 12:04:00;;;79;280,66;2721;9666,76;1816
Camarma de Esteruelas;2021/07/13 12:04:00;;;6;80,68;541;7274,44;323
Robledo de Chavela;2021/07/13 12:04:00;;;8;183,32;335;7676,44;1258
Patones;2021/07/13 12:04:00;;;;0;34;6307,98;1071
Navalagamella;2021/07/13 12:04:00;;;;37,92;246;9328,78;954
Rascafría;2021/07/13 12:04:00;;;;0;136;7884,06;1202
El Boalo;2021/07/13 12:04:00;;;12;156,6;834;10883,47;231
Majadahonda;2021/07/13 12:04:00;;;231;320,14;8825;12230,61;800
Batres;2021/07/13 12:04:00;;;;114,29;106;6057,14;170
Alcobendas;2021/07/13 12:04:00;;;269;227,16;15046;12705,95;66
Alcalá de Henares;2021/07/13 12:04:00;;;249;126,04;17567;8891,89;53
Colmenar Viejo;2021/07/13 12:04:00;;;107;206,01;5291;10187,15;455
San Fernando de Henares;2021/07/13 12:04:00;;;77;194,61;4523;11431,53;1300
Villalbilla;2021/07/13 12:04:00;;;18;125,07;1033;7177,6;1723
El Escorial;2021/07/13 12:04:00;;;31;189,43;1561;9538,65;549
Colmenar del Arroyo;2021/07/13 12:04:00;;;;0;153;8571,43;421
Torrejón de Ardoz;2021/07/13 12:04:00;;;178;133,98;14276;10745,71;1489
Piñuécar-Gandullas;2021/07/13 12:04:00;;;;0;11;6145,25;1147
Brea de Tajo;2021/07/13 12:04:00;;;;0;96;18972,33;259
El Molar;2021/07/13 12:04:00;;;24;258,43;888;9561,75;869
Belmonte de Tajo;2021/07/13 12:04:00;;;;0;153;9090,91;199
Torres de la Alameda;2021/07/13 12:04:00;;;17;217,03;706;9013,15;1548
Somosierra;2021/07/13 12:04:00;;;;0;8;9195,4;1436
Alpedrete;2021/07/13 12:04:00;;;45;303,25;1604;10809,35;105
Orusco de Tajuña;2021/07/13 12:04:00;;;;77,22;120;9266,41;1028
La Hiruela;2021/07/13 12:04:00;;;;0;;4615,38;698
Cervera de Buitrago;2021/07/13 12:04:00;;;;0;16;9876,54;395
Getafe;2021/07/13 12:04:00;;;245;132,3;18926;10220,33;650
Ribatejada;2021/07/13 12:04:00;;;;0;75;9363,3;1224
Villaconejos;2021/07/13 12:04:00;;;;29,22;409;11952,07;1701
Valdetorres de Jarama;2021/07/13 12:04:00;;;10;218,29;355;7749,4;1646
Pozuelo de Alarcón;2021/07/13 12:04:00;;;283;324,67;9220;10577,64;1150
Madrid-Retiro;2021/06/29 12:04:00;;;105;87,24;12414;10314,06;79603
Madrid-Salamanca;2021/06/29 12:04:00;;;175;118,37;16615;11238,43;79604
Madrid-Centro;2021/06/29 12:04:00;;;173;123,11;15821;11258,58;79601
Madrid-Arganzuela;2021/06/29 12:04:00;;;206;132,35;16282;10460,78;79602
Madrid-Chamartín;2021/06/29 12:04:00;;;182;123,35;15996;10841,14;79605
Madrid-Tetuán;2021/06/29 12:04:00;;;128;79,31;17464;10821,06;79606
Madrid-Chamberí;2021/06/29 12:04:00;;;185;131,36;16486;11705,98;79607
Madrid-Fuencarral-El Pardo;2021/06/29 12:04:00;;;204;81,63;24499;9803,17;79608
Madrid-Moncloa-Aravaca;2021/06/29 12:04:00;;;113;92,88;14199;11670,67;79609
Madrid-Latina;2021/06/29 12:04:00;;;167;68,96;25016;10330,66;79610
Madrid-Carabanchel;2021/06/29 12:04:00;;;172;66,1;28794;11065,25;79611
Madrid-Usera;2021/06/29 12:04:00;;;97;67,8;16452;11499,02;79612
Madrid-Puente de Vallecas;2021/06/29 12:04:00;;;168;69,74;32344;13425,98;79613
Madrid-San Blas - Canillejas;2021/06/29 12:04:00;;;152;94,31;16636;10322,28;79620
Madrid-Barajas;2021/06/29 12:04:00;;;67;134,05;4907;9817,34;79621
Madrid-Moratalaz;2021/06/29 12:04:00;;;90;94,17;10609;11101,11;79614
Madrid-Ciudad Lineal;2021/06/29 12:04:00;;;155;70,49;24269;11036,83;79615
Madrid-Hortaleza;2021/06/29 12:04:00;;;206;106,61;19116;9893,13;79616
Madrid-Villaverde;2021/06/29 12:04:00;;;94;60,89;17744;11494,39;79617
Madrid-Villa de Vallecas;2021/06/29 12:04:00;;;54;47,18;11923;10417,38;79618
Madrid-Vicálvaro;2021/06/29 12:04:00;;;48;64,86;7441;10054,86;79619
Alcorcón;2021/06/29 12:04:00;;;107;62,07;16880;9792,09;72
Navalcarnero;2021/06/29 12:04:00;;;11;36,69;2674;8917,79;967
San Agustín del Guadalix;2021/06/29 12:04:00;;;6;44,56;1474;10946,09;1296
Las Rozas de Madrid;2021/06/29 12:04:00;;;106;110,29;9175;9546,06;1277
Moraleja de Enmedio;2021/06/29 12:04:00;;;;38,46;609;11711,54;894
Valdaracete;2021/06/29 12:04:00;;;;0;68;11239,67;1551
Pozuelo del Rey;2021/06/29 12:04:00;;;;0;78;6655,29;1163
Puebla de la Sierra;2021/06/29 12:04:00;;;;0;19;26027,4;1185
Perales de Tajuña;2021/06/29 12:04:00;;;;66,89;265;8862,88;1104
Valdemorillo;2021/06/29 12:04:00;;;6;46,98;907;7101,47;1603
Navalafuente;2021/06/29 12:04:00;;;;0;132;8735,94;941
Velilla de San Antonio;2021/06/29 12:04:00;;;;32,31;1311;10589,66;1678
Villanueva de la Cañada;2021/06/29 12:04:00;;;25;113,05;2274;10282,61;1760
Villanueva del Pardillo;2021/06/29 12:04:00;;;24;137,96;1779;10226,49;1776
Nuevo Baztán;2021/06/29 12:04:00;;;;0;497;7700,65;1006
Villamantilla;2021/06/29 12:04:00;;;;0;118;7962,21;1757
Villamanta;2021/06/29 12:04:00;;;;115,16;243;9328,21;1744
Cabanillas de la Sierra;2021/06/29 12:04:00;;;;0;87;11082,8;297
Cenicientos;2021/06/29 12:04:00;;;;49,07;201;9862,61;376
Puentes Viejas;2021/06/29 12:04:00;;;;0;43;6151,65;9020
Aranjuez;2021/06/29 12:04:00;;;73;121;6635;10997,48;133
Cercedilla;2021/06/29 12:04:00;;;15;208,19;797;11061,76;382
Santorcaz;2021/06/29 12:04:00;;;;222,47;64;7119,02;1369
Coslada;2021/06/29 12:04:00;;;76;93,38;8843;10864,84;493
Morata de Tajuña;2021/06/29 12:04:00;;;;50,97;856;10908,63;915
Robregordo;2021/06/29 12:04:00;;;;0;5;7692,31;1261
Navarredonda y San Mamés;2021/06/29 12:04:00;;;;0;16;12403,1;973
Venturada;2021/06/29 12:04:00;;;;44,62;164;7318,16;1697
Navacerrada;2021/06/29 12:04:00;;;;129,41;350;11323,2;936
Montejo de la Sierra;2021/06/29 12:04:00;;;;0;49;13461,54;881
Fresno de Torote;2021/06/29 12:04:00;;;;0;145;6307,09;571
Pinilla del Valle;2021/06/29 12:04:00;;;;0;9;4736,84;1126
Valdemaqueda;2021/06/29 12:04:00;;;;0;71;9161,29;1599
Navas del Rey;2021/06/29 12:04:00;;;;67,43;302;10182,06;992
Olmeda de las Fuentes;2021/06/29 12:04:00;;;;0;28;8092,49;1013
Bustarviejo;2021/06/29 12:04:00;;;;39,65;158;6264,87;284
Becerril de la Sierra;2021/06/29 12:04:00;;;;0;661;11251,06;186
Fuenlabrada;2021/06/29 12:04:00;;;125;64,26;21816;11215,65;587
Garganta de los Montes;2021/06/29 12:04:00;;;;0;26;6896,55;626
Pinto;2021/06/29 12:04:00;;;27;50,63;4696;8806,38;1132
Alameda del Valle;2021/06/29 12:04:00;;;;0;7;3431,37;35
Berzosa del Lozoya;2021/06/29 12:04:00;;;;0;54;24324,32;203
Los Santos de la Humosa;2021/06/29 12:04:00;;;6;222,72;228;8463,25;1375
El Álamo;2021/06/29 12:04:00;;;;10,14;1016;10302,17;40
Pelayos de la Presa;2021/06/29 12:04:00;;;;0;231;8632,29;1090
Galapagar;2021/06/29 12:04:00;;;21;60,87;3592;10412,5;611
Griñón;2021/06/29 12:04:00;;;;38,33;1204;11538,09;663
Gargantilla del Lozoya y Pinilla de Buitrago;2021/06/29 12:04:00;;;;0;43;13915,86;632
Aldea del Fresno;2021/06/29 12:04:00;;;;0;274;9216,28;88
Carabaña;2021/06/29 12:04:00;;;;0;192;9226,33;357
Talamanca de Jarama;2021/06/29 12:04:00;;;;49,85;411;10244,27;1454
Chapinería;2021/06/29 12:04:00;;;;0;133;5509,53;513
Ciempozuelos;2021/06/29 12:04:00;;;9;35,85;2433;9691,68;409
Ajalvir;2021/06/29 12:04:00;;;;63,55;306;6481,68;29
San Lorenzo de El Escorial;2021/06/29 12:04:00;;;28;151,09;1619;8736,24;1317
Gascones;2021/06/29 12:04:00;;;;0;11;6250;647
San Martín de la Vega;2021/06/29 12:04:00;;;9;45,84;1956;9962,82;1322
Móstoles;2021/06/29 12:04:00;;;139;66,09;22014;10467,46;920
Leganés;2021/06/29 12:04:00;;;124;64,88;18490;9674,85;745
Braojos;2021/06/29 12:04:00;;;;0;25;12135,92;246
Cubas de la Sagra;2021/06/29 12:04:00;;;9;137,64;760;11622,57;506
Algete;2021/06/29 12:04:00;;;16;76,69;2425;11622,89;91
Mejorada del Campo;2021/06/29 12:04:00;;;10;42,3;2401;10156,94;843
Loeches;2021/06/29 12:04:00;;;10;112,4;816;9171,63;758
Parla;2021/06/29 12:04:00;;;97;72,67;15126;11331,86;1065
Fuentidueña de Tajo;2021/06/29 12:04:00;;;;0;218;10205,99;604
Ambite;2021/06/29 12:04:00;;;;0;66;10837,44;112
Torremocha de Jarama;2021/06/29 12:04:00;;;;93,02;61;5674,42;1533
Anchuelo;2021/06/29 12:04:00;;;;0;76;5909,8;127
Los Molinos;2021/06/29 12:04:00;;;;45,12;499;11256,49;875
Soto del Real;2021/06/29 12:04:00;;;5;55,67;777;8651,6;1441
Valverde de Alcalá;2021/06/29 12:04:00;;;;0;37;7429,72;1662
Fuente el Saz de Jarama;2021/06/29 12:04:00;;;;29,38;866;12722,2;590
Horcajo de la Sierra-Aoslos;2021/06/29 12:04:00;;;;0;7;4605,26;702
Valdeolmos-Alalpardo;2021/06/29 12:04:00;;;;47,26;414;9782,61;1625
Campo Real;2021/06/29 12:04:00;;;;62,31;734;11433,02;339
Valdeavero;2021/06/29 12:04:00;;;;62,85;116;7291,01;1564
Villamanrique de Tajo;2021/06/29 12:04:00;;;;0;63;8910,89;1739
Cobeña;2021/06/29 12:04:00;;;6;80,15;818;10927,06;416
Fresnedillas de la Oliva;2021/06/29 12:04:00;;;;121,14;141;8540,28;565
Valdilecha;2021/06/29 12:04:00;;;;33,53;343;11502,35;1659
El Berrueco;2021/06/29 12:04:00;;;;128,7;72;9266,41;210
Pezuela de las Torres;2021/06/29 12:04:00;;;;0;57;6574,39;1111
Villar del Olmo;2021/06/29 12:04:00;;;;48,1;133;6397,31;1795
Guadarrama;2021/06/29 12:04:00;;;16;96,62;1635;9873,19;685
San Martín de Valdeiglesias;2021/06/29 12:04:00;;;;34,57;934;10761,61;1338
Torrelodones;2021/06/29 12:04:00;;;23;96,23;2412;10091,21;1527
Boadilla del Monte;2021/06/29 12:04:00;;;93;163,92;4908;8650,9;225
Torrejón de Velasco;2021/06/29 12:04:00;;;;45,6;468;10670,31;1505
Villanueva de Perales;2021/06/29 12:04:00;;;;62,81;134;8417,09;1782
Tielmes;2021/06/29 12:04:00;;;;109,65;332;12134,5;1467
San Sebastián de los Reyes;2021/06/29 12:04:00;;;78;85,5;10270;11258;1343
Guadalix de la Sierra;2021/06/29 12:04:00;;;;31,06;521;8090,06;679
